id,createdAt,fullName,userName,profileImage,fullText,replyTo,lang,quoteCount,retweetCount,replyCount,retweetCount,likeCount
1756491181477806418,Sun Feb 11 01:31:46 +0000 2024,Sanaullah Said,Sani0144,https://pbs.twimg.com/profile_images/1752255580335693824/hPiDejuo_normal.jpg,@BBCWorld Jack Sweeney's passion for planespotting has certainly stirred curiosity and even garnered attention from notable figures like Taylor Swift and Elon Musk. #Planespotting #Passion.,1756488947092291943,en,0,0,0,0,0
1755361852996141314,Wed Feb 07 22:44:13 +0000 2024,N.Perez,nperez55,https://pbs.twimg.com/profile_images/1711519400606703616/yBK7KPpH_normal.jpg,@ChannelNewsAsia ELON MUSK IS FAR FROM CHARISMATIC.,1755351016294539350,en,0,0,0,0,0
1755285353148354961,Wed Feb 07 17:40:14 +0000 2024,埼玉国民No.201107,201107No,https://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,"@BBCWorld I understand that what Mr. Elon Musk is doing is that it is not good to unilaterally bash someone, and that we should at least listen to their claims.",1755003259113062485,en,0,0,0,0,0
1755011555266076875,Tue Feb 06 23:32:15 +0000 2024,John Player Special-ed,denimdemon99,https://pbs.twimg.com/profile_images/1693350694701400064/tNjBacRp_normal.jpg,@BBCWorld Cool something else for Elon Musk to fuck up laughably.,1755003259113062485,en,0,0,1,0,0
1755009711882052086,Tue Feb 06 23:24:56 +0000 2024,The Secret DJ.,SecretDJBook,https://pbs.twimg.com/profile_images/1683237830384836608/QX9SPBqN_normal.jpg,"@BBCWorld ""Far Right racist actress Gina Carano sues Disney and Lucasfilm with massive nazi Elon Musk's help"". fixed that for you.",1755003259113062485,en,0,2,6,2,36
1755004215619993845,Tue Feb 06 23:03:06 +0000 2024,Balkan Havaları,Bzalkanowski,https://pbs.twimg.com/profile_images/1728093252379643905/iCE7OFbY_normal.jpg,"@BBCWorld The news about actress Gina Carano suing Disney and Lucasfilm, with Elon Musk's assistance, reflects an intriguing development in the entertainment industry. It sparks curiosity about the details of the lawsuit and the involvement of prominent figures like Elon Musk in the legal….",1755003259113062485,en,1,2,2,2,5
1752960755660620117,Thu Feb 01 07:43:07 +0000 2024,"Donald J. Twitler (for Jenius) ""A Parody""",DonnieTwitler,https://pbs.twimg.com/profile_images/1722225608250540032/Tw4xeDtn_normal.jpg,"@BBCWorld Americans are hoping Elon Musk keeps moving further south, taking his apartheid business practices all the way back to the 18th century where it belongs.",1752957112911528143,en,0,0,0,0,3
1752960044575216050,Thu Feb 01 07:40:17 +0000 2024,Ch Ali,chali_007,https://pbs.twimg.com/profile_images/1751141876168536064/BXf5JLPj_normal.jpg,@BBCWorld #ElonMusk is game changer. Topper in advancement.,1752957112911528143,en,0,0,0,0,0
1752958183042068832,Thu Feb 01 07:32:53 +0000 2024,MR G.O,GloriousOm75825,https://pbs.twimg.com/profile_images/1721382053940281344/T0_XphUs_normal.jpg,@BBCWorld Elon Musk is doing well 👍👍👍.,1752957112911528143,en,0,0,1,0,2
1752788179176800334,Wed Jan 31 20:17:21 +0000 2024,Thegossipbean,thegossipbean,https://pbs.twimg.com/profile_images/1749554981034708993/_vLwncoE_normal.jpg,"@BBCWorld In a landmark decision, a Delaware judge annulled Elon Musk's $55.8 billion pay deal from Tesla, granted in 2018. The deal, the largest in US corporate history, was challenged by a shareholder for being excessively generous. The judge ruled that Tesla's directors were overly….",1752492784655675421,en,0,0,1,0,0
1752661959038710207,Wed Jan 31 11:55:48 +0000 2024,HMS Ajax - TRUTH 🇬🇧,quodliberavem,https://pbs.twimg.com/profile_images/1271050270328393734/ET_ULcyD_normal.jpg,@BBCWorld So a Court in Biden's home state #Delaware has ruled against free thinker Elon Musk 🤔. Why does BBC make no mention of Biden's attacks on Musk and Tesla?🤔. -Biden falsely claimed GM were leading the way in EV production. -Biden invited car makers to WH but failed to invite Musk.,1752492784655675421,en,0,0,0,0,0
1752548141386158123,Wed Jan 31 04:23:32 +0000 2024,Alan Rosca,alanrosca,https://pbs.twimg.com/profile_images/1418763984103149572/_y1_FWGD_normal.jpg,"@BBCWorld If @elonmusk decides to quit #Tesla and focus on his other ventures, the Court's decision might end up inflicting far more financial harm upon #TSLA's shareholders than the board's decision to approve his pay package.",1752492784655675421,en,0,0,1,0,1
1752507483812212755,Wed Jan 31 01:41:58 +0000 2024,king Albert,KingSafdar441,https://pbs.twimg.com/profile_images/1744633440744480769/cX4xBBv8_normal.jpg,"@BBCWorld The court's decision to void Elon Musk's $56 billion Tesla pay deal marks a significant turn of events, raising questions about corporate governance and legal interpretation in high-profile cases.",1752492784655675421,en,0,0,0,0,0
1752496665376760266,Wed Jan 31 00:58:59 +0000 2024,Peter_Lemonjello,lemonjelloinc,https://pbs.twimg.com/profile_images/1650528245882712065/bRRiEOsk_normal.jpg,@BBCWorld Elon Musk's $56bn Tesla pay deal voided by court as a message to stay in line and not speak your mind from Democrats.,1752492784655675421,en,0,0,0,0,0
1752496435734647203,Wed Jan 31 00:58:04 +0000 2024,Burak_Cin,haqq_cin,https://pbs.twimg.com/profile_images/1769256371843985408/I-KEVvqz_normal.jpg,"@BBCWorld A Delaware judge on Tuesday voided the $56B pay package of Tesla Ceo Elon Musk, ruling that the company board of directors failed to prove that the compensation plan was fair.",1752492784655675421,en,0,0,0,0,0
1752493097072668748,Wed Jan 31 00:44:48 +0000 2024,KING OF POLLS 👑📈📉,mixtorious1,https://pbs.twimg.com/profile_images/1516166541712269324/USUbHEuM_normal.jpg,@BBCWorld Do you trust Elon Musk 🤔.,1752492784655675421,en,0,6,11,6,9
1752493038432059793,Wed Jan 31 00:44:34 +0000 2024,cook with Zareen,Moonzareen88,https://pbs.twimg.com/profile_images/1742326991167389697/mp2iyzMm_normal.jpg,@BBCWorld The court has voided Elon Musk's $56 billion Tesla pay deal.,1752492784655675421,en,0,0,0,0,0
1752418165995250045,Tue Jan 30 19:47:03 +0000 2024,Duluth Air 🖤,mn_opinion,https://pbs.twimg.com/profile_images/1480107824910946310/tV3bn8ik_normal.jpg,@BBCWorld Has @elonmusk tried it on himself first?.,1752149834306363759,en,0,0,0,0,0
